step_center,norm_mean,norm_sem
4.99500000e+02,8.76956079e-05,1.03705912e-04
1.49950000e+03,-3.31898374e-05,2.86203721e-05
2.49950000e+03,-8.49114443e-06,2.04176850e-05
3.49950000e+03,6.07654643e-06,2.32040638e-05
4.49950000e+03,2.05662926e-06,2.15038221e-05
5.49950000e+03,-1.24088158e-06,2.20006252e-05
6.49950000e+03,-2.53442855e-06,2.25847508e-05
7.49950000e+03,9.98582381e-06,2.46435941e-05
8.49950000e+03,1.93713490e-05,2.68486733e-05
9.49950000e+03,4.39494810e-07,2.58761335e-05
1.04995000e+04,6.73735505e-06,2.87899603e-05
1.14995000e+04,-5.62620966e-06,3.18745954e-05
1.24995000e+04,1.17466934e-05,3.23854051e-05
1.34995000e+04,-3.24266528e-06,2.93674796e-05
1.44995000e+04,-1.11389370e-06,3.07323271e-05
1.54995000e+04,-6.15776327e-06,3.44018810e-05
1.64995000e+04,9.43678158e-06,3.11646004e-05
1.74995000e+04,-7.09395263e-06,3.37985622e-05
1.84995000e+04,-1.60499165e-05,3.64965698e-05
1.94995000e+04,8.67292693e-06,3.39543220e-05
2.04995000e+04,-1.90715057e-05,3.36431614e-05
2.14995000e+04,-8.23731144e-07,3.52257986e-05
2.24995000e+04,9.48610820e-06,3.47104169e-05
2.34995000e+04,3.75336727e-06,3.62975230e-05
2.44995000e+04,-3.40354828e-05,3.69137987e-05
2.54995000e+04,-1.24427420e-05,3.51108280e-05
2.64995000e+04,6.19470328e-06,3.50110788e-05
2.74995000e+04,-8.71094925e-06,3.86415742e-05
2.84995000e+04,-3.72306929e-05,3.94056023e-05
2.94995000e+04,-2.43796886e-06,3.81192550e-05
3.04995000e+04,3.51552743e-06,4.07088868e-05
3.14995000e+04,5.17851025e-06,4.07736449e-05
3.24995000e+04,-1.22857646e-05,4.09067330e-05
3.34995000e+04,3.43089344e-06,4.16706286e-05
3.44995000e+04,-4.45645511e-06,4.21753945e-05
3.54995000e+04,2.37196787e-05,4.26301213e-05
3.64995000e+04,-1.37498192e-05,4.33623053e-05
3.74995000e+04,8.30648076e-07,4.40362042e-05
3.84995000e+04,1.41346371e-05,4.31803466e-05
3.94995000e+04,7.60473382e-07,4.41245363e-05
4.04995000e+04,-1.17033421e-06,4.46072133e-05
4.14995000e+04,3.41574468e-05,4.49216531e-05
4.24995000e+04,-3.22819617e-06,4.82239584e-05
4.34995000e+04,9.66269376e-06,4.50527504e-05
4.44995000e+04,1.63866721e-05,4.79256657e-05
4.54995000e+04,-3.87901252e-05,4.46980415e-05
4.64995000e+04,1.72383439e-05,4.58907664e-05
4.74995000e+04,-9.64407410e-06,4.54006451e-05
4.84995000e+04,1.84443495e-05,4.72416746e-05
4.94995000e+04,5.82916943e-06,4.77201923e-05
5.04995000e+04,-6.10102992e-06,4.61692713e-05
5.14995000e+04,1.38151829e-05,4.72516707e-05
5.24995000e+04,1.47517444e-05,4.78902587e-05
5.34995000e+04,-2.35394809e-05,4.92664994e-05
5.44995000e+04,4.34630309e-05,4.72923186e-05
5.54995000e+04,3.97446197e-05,4.88392935e-05
5.64995000e+04,-2.81746698e-05,4.65098503e-05
5.74995000e+04,5.41109656e-06,4.79111997e-05
5.84995000e+04,-1.02301167e-05,4.87673773e-05
5.94995000e+04,3.13433971e-05,4.89401650e-05
