step,lr,influence_raw,influence_lr_normalized
0,1.50000000e-07,8.92798399e-09,5.95198933e-02
1,3.00000000e-07,1.94669039e-08,6.48896797e-02
2,4.50000000e-07,7.02128732e-08,1.56028607e-01
3,6.00000000e-07,4.68361567e-08,7.80602611e-02
4,7.50000000e-07,1.68733292e-08,2.24977722e-02
5,9.00000000e-07,3.86272678e-09,4.29191864e-03
6,1.05000000e-06,5.28145958e-08,5.02996151e-02
7,1.20000000e-06,1.47378219e-07,1.22815182e-01
8,1.35000000e-06,5.27036634e-08,3.90397507e-02
9,1.50000000e-06,-1.49187593e-08,-9.94583956e-03
10,1.65000000e-06,5.63687970e-08,3.41629073e-02
11,1.80000000e-06,4.65903286e-08,2.58835159e-02
12,1.95000000e-06,3.43404644e-08,1.76104946e-02
13,2.10000000e-06,-2.41117581e-08,-1.14817896e-02
14,2.25000000e-06,-4.88965436e-09,-2.17317972e-03
15,2.40000000e-06,4.93048473e-08,2.05436864e-02
16,2.55000000e-06,7.89314802e-09,3.09535217e-03
17,2.70000000e-06,-3.29520798e-08,-1.22044740e-02
18,2.85000000e-06,-7.75709783e-09,-2.72178871e-03
19,3.00000000e-06,-2.06115932e-08,-6.87053107e-03
20,3.15000000e-06,-2.45499271e-08,-7.79362765e-03
21,3.30000000e-06,-2.82317374e-08,-8.55507194e-03
22,3.45000000e-06,-3.60803454e-08,-1.04580711e-02
23,3.60000000e-06,2.02966246e-08,5.63795128e-03
24,3.75000000e-06,-3.54904461e-09,-9.46411897e-04
25,3.90000000e-06,6.94813446e-08,1.78157294e-02
26,4.05000000e-06,-3.69644971e-08,-9.12703633e-03
27,4.20000000e-06,-4.16417363e-08,-9.91469913e-03
28,4.35000000e-06,3.68652822e-08,8.47477751e-03
29,4.50000000e-06,-1.62009683e-09,-3.60021519e-04
30,4.65000000e-06,-9.58550905e-09,-2.06139980e-03
31,4.80000000e-06,6.44372428e-08,1.34244256e-02
32,4.95000000e-06,-7.88173043e-09,-1.59226877e-03
33,5.10000000e-06,3.05533465e-08,5.99085226e-03
34,5.25000000e-06,1.00207655e-07,1.90871724e-02
35,5.40000000e-06,-6.91690155e-09,-1.28090769e-03
36,5.55000000e-06,-2.22627651e-08,-4.01130902e-03
37,5.70000000e-06,9.20688031e-09,1.61524216e-03
38,5.85000000e-06,4.12688034e-08,7.05449630e-03
39,6.00000000e-06,3.14117091e-08,5.23528485e-03
40,6.15000000e-06,-2.24215757e-10,-3.64578467e-05
41,6.30000000e-06,-6.29748977e-08,-9.99601551e-03
42,6.45000000e-06,-2.11286775e-08,-3.27576395e-03
43,6.60000000e-06,2.90731752e-08,4.40502655e-03
44,6.75000000e-06,1.76849710e-08,2.61999570e-03
45,6.90000000e-06,5.55902152e-08,8.05655293e-03
46,7.05000000e-06,-4.58187779e-08,-6.49911743e-03
47,7.20000000e-06,-4.16135009e-08,-5.77965290e-03
48,7.35000000e-06,-2.75696085e-08,-3.75096714e-03
49,7.50000000e-06,-3.22931897e-08,-4.30575863e-03
50,7.65000000e-06,-4.94762349e-08,-6.46748168e-03
51,7.80000000e-06,3.22427803e-08,4.13368979e-03
52,7.95000000e-06,-1.36153908e-08,-1.71262778e-03
53,8.10000000e-06,-2.30423747e-09,-2.84473761e-04
54,8.25000000e-06,4.39399184e-10,5.32605071e-05
55,8.40000000e-06,1.03043567e-08,1.22670913e-03
56,8.55000000e-06,-3.45994676e-08,-4.04672136e-03
57,8.70000000e-06,5.64731366e-08,6.49116513e-03
58,8.85000000e-06,1.05974667e-08,1.19745387e-03
59,9.00000000e-06,-1.54562875e-08,-1.71736528e-03
60,9.15000000e-06,-9.44675427e-09,-1.03243216e-03
61,9.30000000e-06,-3.68850279e-08,-3.96613203e-03
62,9.45000000e-06,-7.79395437e-09,-8.24757076e-04
63,9.60000000e-06,-8.28096258e-10,-8.62600269e-05
64,9.75000000e-06,-4.87972367e-08,-5.00484479e-03
65,9.90000000e-06,-7.01077292e-08,-7.08158881e-03
66,1.00500000e-05,-6.40179700e-08,-6.36994727e-03
67,1.02000000e-05,8.16362622e-09,8.00355512e-04
68,1.03500000e-05,2.57584081e-08,2.48873508e-03
69,1.05000000e-05,2.21080285e-08,2.10552653e-03
70,1.06500000e-05,1.24606896e-07,1.17001780e-02
71,1.08000000e-05,-4.52497284e-09,-4.18978967e-04
72,1.09500000e-05,7.81408094e-09,7.13614698e-04
73,1.11000000e-05,-3.69868458e-09,-3.33214827e-04
74,1.12500000e-05,1.11607271e-08,9.92064635e-04
75,1.14000000e-05,-6.78818729e-09,-5.95455025e-04
76,1.15500000e-05,-8.63785689e-08,-7.47866397e-03
77,1.17000000e-05,-2.11053336e-08,-1.80387467e-03
78,1.18500000e-05,-9.27303677e-08,-7.82534749e-03
79,1.20000000e-05,-1.04195130e-07,-8.68292750e-03
80,1.21500000e-05,-1.38726680e-07,-1.14178337e-02
81,1.23000000e-05,-4.54572029e-08,-3.69570755e-03
82,1.24500000e-05,-5.37797793e-08,-4.31966099e-03
83,1.26000000e-05,9.31120414e-08,7.38984456e-03
84,1.27500000e-05,-7.71691377e-10,-6.05248139e-05
85,1.29000000e-05,5.15147749e-08,3.99339340e-03
86,1.30500000e-05,8.77950730e-08,6.72759180e-03
87,1.32000000e-05,-4.71601606e-08,-3.57273944e-03
88,1.33500000e-05,-2.89210847e-08,-2.16637339e-03
89,1.35000000e-05,-1.95779215e-08,-1.45021641e-03
90,1.36500000e-05,-5.57582119e-08,-4.08485069e-03
91,1.38000000e-05,3.64004027e-08,2.63771034e-03
92,1.39500000e-05,-3.51248481e-08,-2.51791026e-03
93,1.41000000e-05,-2.94615414e-08,-2.08947102e-03
94,1.42500000e-05,-1.44535483e-07,-1.01428409e-02
95,1.44000000e-05,-1.50518297e-07,-1.04526595e-02
96,1.45500000e-05,-4.41977868e-08,-3.03764858e-03
97,1.47000000e-05,-3.87478729e-08,-2.63590972e-03
98,1.48500000e-05,-2.08432825e-07,-1.40358805e-02
99,1.50000000e-05,8.29692626e-08,5.53128417e-03
100,1.51500000e-05,1.70579155e-08,1.12593502e-03
101,1.53000000e-05,3.67707661e-08,2.40331805e-03
102,1.54500000e-05,-7.08637364e-08,-4.58664961e-03
103,1.56000000e-05,1.02460798e-07,6.56799986e-03
104,1.57500000e-05,1.82242246e-07,1.15709363e-02
105,1.59000000e-05,1.37870767e-07,8.67111740e-03
106,1.60500000e-05,6.90948965e-10,4.30497797e-05
107,1.62000000e-05,-1.29439581e-07,-7.99009761e-03
108,1.63500000e-05,-1.49196175e-07,-9.12514834e-03
109,1.65000000e-05,-9.73483574e-08,-5.89990045e-03
110,1.66500000e-05,-1.44675907e-07,-8.68924369e-03
111,1.68000000e-05,-3.04649311e-07,-1.81338875e-02
112,1.69500000e-05,-8.26404465e-08,-4.87554257e-03
113,1.71000000e-05,-7.74190116e-08,-4.52742758e-03
114,1.72500000e-05,3.51021392e-08,2.03490662e-03
115,1.74000000e-05,3.45318565e-08,1.98458945e-03
116,1.75500000e-05,1.30416320e-07,7.43112933e-03
117,1.77000000e-05,-9.17102305e-09,-5.18136896e-04
118,1.78500000e-05,-5.77191495e-09,-3.23356580e-04
119,1.80000000e-05,2.02706243e-08,1.12614579e-03
120,1.81500000e-05,6.65883815e-09,3.66878135e-04
121,1.83000000e-05,-1.66756589e-07,-9.11238194e-03
122,1.84500000e-05,-4.47841083e-08,-2.42732294e-03
123,1.86000000e-05,1.79036966e-08,9.62564335e-04
124,1.87500000e-05,-2.50841182e-07,-1.33781964e-02
125,1.89000000e-05,-7.28854195e-08,-3.85637140e-03
126,1.90500000e-05,-1.09845959e-07,-5.76619205e-03
127,1.92000000e-05,-2.69038543e-08,-1.40124241e-03
128,1.93500000e-05,1.86130641e-07,9.61915459e-03
129,1.95000000e-05,-1.57433415e-08,-8.07350847e-04
130,1.96500000e-05,-2.28818653e-09,-1.16447152e-04
