[INFO] Loaded 4849 instruction samples (from 5000 raw, percentage=1.0).
[INFO] total optimizer steps: 1200 (1212/epoch x 1 epochs, consume=4)
[INFO] Starting GREATS SFT for 1200 steps (k=2, N=4, n_val=5).
  [eval] step 0 | 'sociology' eval_ppl 17.2776 | test_ppl 13.2792 | test_acc 0.5821 (n=201)
  [eval] step 100 | 'sociology' eval_ppl 16.5832 | test_ppl 13.0096 | test_acc 0.5920 (n=201)
  [eval] step 200 | 'sociology' eval_ppl 14.3241 | test_ppl 11.6229 | test_acc 0.6070 (n=201)
  [eval] step 300 | 'sociology' eval_ppl 11.9003 | test_ppl 10.0584 | test_acc 0.6169 (n=201)
  [eval] step 400 | 'sociology' eval_ppl 10.8486 | test_ppl 9.5448 | test_acc 0.5821 (n=201)
  [eval] step 500 | 'sociology' eval_ppl 10.4498 | test_ppl 8.9022 | test_acc 0.5672 (n=201)
  [eval] step 600 | 'sociology' eval_ppl 9.4198 | test_ppl 8.3045 | test_acc 0.5522 (n=201)
  [eval] step 700 | 'sociology' eval_ppl 8.5542 | test_ppl 7.7153 | test_acc 0.5373 (n=201)
  [eval] step 800 | 'sociology' eval_ppl 8.3806 | test_ppl 7.1913 | test_acc 0.5423 (n=201)
  [eval] step 900 | 'sociology' eval_ppl 7.6156 | test_ppl 6.8356 | test_acc 0.5473 (n=201)
  [eval] step 1000 | 'sociology' eval_ppl 7.5503 | test_ppl 6.5337 | test_acc 0.5423 (n=201)
  [eval] step 1100 | 'sociology' eval_ppl 7.1567 | test_ppl 6.3983 | test_acc 0.5522 (n=201)
  [eval] step 1200 | 'sociology' eval_ppl 7.1412 | test_ppl 6.3756 | test_acc 0.5622 (n=201)
[INFO] Training completed.
