[INFO] Loaded 4849 instruction samples (from 5000 raw, percentage=1.0).
[INFO] total optimizer steps: 1200 (1212/epoch x 1 epochs, consume=4)
[INFO] Starting Regular SFT for 1200 steps (k=4, N=4, n_val=5).
  [eval] step 0 | 'sociology' eval_ppl 17.2776 | test_ppl 13.2792 | test_acc 0.5821 (n=201)
  [eval] step 100 | 'sociology' eval_ppl 16.3731 | test_ppl 12.9377 | test_acc 0.5970 (n=201)
  [eval] step 200 | 'sociology' eval_ppl 13.7595 | test_ppl 11.1363 | test_acc 0.6070 (n=201)
  [eval] step 300 | 'sociology' eval_ppl 12.0550 | test_ppl 9.9491 | test_acc 0.5771 (n=201)
  [eval] step 400 | 'sociology' eval_ppl 11.3736 | test_ppl 9.3612 | test_acc 0.5771 (n=201)
  [eval] step 500 | 'sociology' eval_ppl 10.0114 | test_ppl 8.6841 | test_acc 0.5174 (n=201)
  [eval] step 600 | 'sociology' eval_ppl 9.7526 | test_ppl 8.0561 | test_acc 0.5423 (n=201)
  [eval] step 700 | 'sociology' eval_ppl 9.7036 | test_ppl 7.7500 | test_acc 0.5572 (n=201)
  [eval] step 800 | 'sociology' eval_ppl 9.4767 | test_ppl 7.6633 | test_acc 0.5473 (n=201)
  [eval] step 900 | 'sociology' eval_ppl 9.5144 | test_ppl 7.5487 | test_acc 0.5473 (n=201)
  [eval] step 1000 | 'sociology' eval_ppl 9.3430 | test_ppl 7.4084 | test_acc 0.5473 (n=201)
  [eval] step 1100 | 'sociology' eval_ppl 9.2449 | test_ppl 7.3923 | test_acc 0.5522 (n=201)
  [eval] step 1200 | 'sociology' eval_ppl 9.2504 | test_ppl 7.3627 | test_acc 0.5572 (n=201)
[INFO] Training completed.
